epoch,train_mse,val_mse,mean_active
1,0.030472919166088103,0.0241846912247794,32.46
2,0.016977235119789838,0.012813608597735969,30.445
3,0.011240421749651432,0.010099663004583242,28.56
4,0.00910423194617033,0.008691241084312906,29.78
5,0.007793122433125973,0.0075461305769122375,30.555
6,0.006917164508253336,0.006965684915075497,32.305
7,0.006181421771645546,0.006390916133413509,32.475
8,0.005670661240816117,0.006077160129741747,32.645
9,0.005194660104811191,0.005699971257423868,33.27
10,0.00496291927807033,0.005593271486613215,33.095
11,0.004640989741310477,0.005285015836053965,33.865
12,0.004437381641939283,0.005254202716204585,33.815
